created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Feb 04 14:09:47 +0000 2024,1754145226313343207,Anies : Saya setuju Pak Prabowo😝  #WaktunyaPrabowoGibran  #AkhirnyaPilihPrabowo #GemoySamsul https://t.co/qIfjpTflyQ,0,0,0,0,in,1684402660747902976,1754145226313343207,Obrin_Sitorus_,https://twitter.com/Obrin_Sitorus_/status/1754145226313343207
Sun Feb 04 14:09:46 +0000 2024,1754145225940009396,Debat Pamungkas! Inilah alasan kenapa jangan biarkan prabowo mempin Indonesia. Demokrasi rusak.  #debatcapres2024 #02KubuArogan #GanjarMahfud2024 https://t.co/NCwdG2bVoJ,0,0,0,0,in,1723977447966978048,1754145225940009396,Patra_rifkis,https://twitter.com/Patra_rifkis/status/1754145225940009396
Sun Feb 04 14:09:46 +0000 2024,1754145222374875280,@benings_tj pasti bukan Pak Prabowo itu 🙊  😅  🏃🏃,0,0,0,0,in,1073752140923826176,1754139768542421007,si_ciio,https://twitter.com/si_ciio/status/1754145222374875280
Sun Feb 04 14:09:45 +0000 2024,1754145219489169919,@aleanooraa Jelas tegas dan sangat tepat pak prabowo #PBBSupportNolDua,0,0,0,0,in,1719559886294704128,1754142770552611081,tonghilap280500,https://twitter.com/tonghilap280500/status/1754145219489169919
Sun Feb 04 14:09:45 +0000 2024,1754145219464057111,"@idextratime Ga kuat ti ngeliat ini pas anies disuruh nanya ke prabowo, malah nyengir2 wkakwkaka https://t.co/9DYWWS2D8p",0,0,0,0,in,2653090872,1754144806023176340,Creaminallll,https://twitter.com/Creaminallll/status/1754145219464057111
Sun Feb 04 14:09:45 +0000 2024,1754145218948124763,"Prabowo"" dan ""tegakkan hukum"" tolong jangan disatuin please""",0,0,0,0,in,1338551173259829249,1754145218948124763,matchily,https://twitter.com/matchily/status/1754145218948124763
Sun Feb 04 14:09:45 +0000 2024,1754145218616840253,persamaan antara prabowo dan aku adalah sama sama menyetujui statement abah,0,0,0,0,in,1260926787002880006,1754145218616840253,sukasukanin,https://twitter.com/sukasukanin/status/1754145218616840253
Sun Feb 04 14:09:44 +0000 2024,1754145216448311774,cok melas prabowo😭 https://t.co/pM6Fs3kmHw,0,0,0,0,in,1242150645416611842,1754145216448311774,ylord8,https://twitter.com/ylord8/status/1754145216448311774
Sun Feb 04 14:09:44 +0000 2024,1754145216238698666,PAK PRABOWO YOU MAH IBARATNYA DIKASIH CONTEKAN SAMA PAK ANIES DULU BUAT JAWABANNYA 😭 #debatcapres2024,0,0,0,0,in,1733470904032870400,1754145216238698666,ohplzstfu,https://twitter.com/ohplzstfu/status/1754145216238698666
Sun Feb 04 14:09:44 +0000 2024,1754145215584293293,Pertanyaan pak Anies kepada pak Prabowo ..diman kurangnya keberlanjutan utk  perempuan ..kog malah kemana jawabnya,0,0,0,0,in,1603543715100131328,1754145215584293293,soni_akun_kedua,https://twitter.com/soni_akun_kedua/status/1754145215584293293
Sun Feb 04 14:09:44 +0000 2024,1754145215429136576,buat prabowo wanita itu cuman ibu,0,0,0,0,in,1650343717512052737,1754145215429136576,infoperdamaian,https://twitter.com/infoperdamaian/status/1754145215429136576
Sun Feb 04 14:09:43 +0000 2024,1754145213004869834,Prik lu prabowo,0,0,0,0,in,1111983704853774336,1754145213004869834,jaeminununana,https://twitter.com/jaeminununana/status/1754145213004869834
Sun Feb 04 14:09:43 +0000 2024,1754145210802844020,"Gw ngga milih Prabowo, tapi gw malu denger jawabannya. Ngga nyambung terus.  Masa ditanya bagaimana melindungi perempuan? Jawabannya saya setuju......"" Trus ngomongin ibu hamil. Nah lho?  #debatcapres""",0,0,0,1,in,183052471,1754145210802844020,imnnha,https://twitter.com/imnnha/status/1754145210802844020
Sun Feb 04 14:09:42 +0000 2024,1754145209204826438,@neohistoria_id @aniesbaswedan @ganjarpranowo @prabowo Politik indo udah rumit minneo jangan dibikin tambah rumit  😭,0,0,0,0,in,1283477176344473601,1754138545177211239,kamudialabs,https://twitter.com/kamudialabs/status/1754145209204826438
Sun Feb 04 14:09:42 +0000 2024,1754145208894456152,"Bagi pak Prabowo debat itu merupakan forum gagasan yang tujuannya bertukar pikiran, demi menemukan solusi. Dalam hal ini terlihat betapa tulusnya pak Prabowo dalam forum debat, saat beliau mau mengakui dan memuji ide dari lawan debatnya bagus. #WaktunyaPrabowoGibran #GemoySamsul",0,0,0,0,in,1676431063193886720,1754145208894456152,Gerakan_Pemuda1,https://twitter.com/Gerakan_Pemuda1/status/1754145208894456152
Sun Feb 04 14:09:42 +0000 2024,1754145208613343494,prabowo ini lho jarang connect sama pertanyaan,0,1,0,0,in,1337974404265865217,1754145208613343494,hopefulpuff,https://twitter.com/hopefulpuff/status/1754145208613343494
Sun Feb 04 14:09:42 +0000 2024,1754145208118448409,"Pada debat kelima, calon Presiden nomor 02, Prabowo Subianto mengatakan akan membuat dana abadi budaya untuk para pelaku budaya di semua bidang bila terpilih jadi presiden.   #PemiluSerentak2024 #DebatCapres2024 #DebatPilpres2024 https://t.co/9AdizNKmMp",0,0,0,1,in,3306771829,1754145208118448409,CNNIDdaily,https://twitter.com/CNNIDdaily/status/1754145208118448409
Sun Feb 04 14:09:42 +0000 2024,1754145207065690337,Jawaban Prabowo kok byk tidak nyambung. Saran :  jawab saja saya setuju dgn Anda yg lebih berkapasitas. Saya dgn ini mundur saja.  #debatcapres2024,0,0,0,1,in,138739459,1754145207065690337,karatepay,https://twitter.com/karatepay/status/1754145207065690337
Sun Feb 04 14:09:42 +0000 2024,1754145206365254070,Napa makan siang gratis mulu sih pak @prabowo,0,0,0,0,in,1274924170430648320,1754145206365254070,gantiakunyawan,https://twitter.com/gantiakunyawan/status/1754145206365254070
Sun Feb 04 14:09:41 +0000 2024,1754145204297503105,"Anies : .... Permasalahan ttg perempuan dan gimana cara mengatasinya"" Prabowo : ""ya itu..... Makanan gratis""  😭😭😭 #DebatCapres""",0,0,0,2,in,1481552966574571526,1754145204297503105,ZeffBridgers,https://twitter.com/ZeffBridgers/status/1754145204297503105
Sun Feb 04 14:09:41 +0000 2024,1754145203588677933,Aku tunggu voucher makan gyukaku selama setahun pak @prabowo,0,0,0,0,in,797828441282347009,1754145203588677933,fujirolls,https://twitter.com/fujirolls/status/1754145203588677933
Sun Feb 04 14:09:41 +0000 2024,1754145201214693638,Keras Anies Balas Prabowo Soal Disabilitas Bantu Disabilitas Bukan Kegiatan Amal! https://t.co/RbjxD9JGWO,0,0,0,0,in,456426648,1754145201214693638,merdekadotcom,https://twitter.com/merdekadotcom/status/1754145201214693638
Sun Feb 04 14:09:40 +0000 2024,1754145199830552618,Anies : *Bertanya masalah Perlindungan Wanita*  Prabowo : Gizi Makanan!!!!   😭😭😭😭,0,0,0,1,in,38110141,1754145199830552618,iAmAchmad,https://twitter.com/iAmAchmad/status/1754145199830552618
Sun Feb 04 14:09:40 +0000 2024,1754145199738225020,"Jawabannya pak Anies pas pak Prabowo belum ngejawab kok enak bgt ya didenger, dibanding Gibran yang nunduk2 nyari2 jawaban AWOKWOKW beda kelas emang",0,1,0,0,in,2355313238,1754145199738225020,runrunroen,https://twitter.com/runrunroen/status/1754145199738225020
Sun Feb 04 14:09:40 +0000 2024,1754145199054610788,"@idextratime emang udah bukan eranya prabowo. harusnya tuh sekarang era ganjar, anies, ridwan hanif",0,0,0,0,in,810387517874782208,1754145023149654169,daendeIs,https://twitter.com/daendeIs/status/1754145199054610788
Sun Feb 04 14:09:40 +0000 2024,1754145199046234172,"Pak prabowo ini sm skali ga singgung permasalahan perempuan, beliau seperti ngga ngeh ttg kasus kekerasan thd perempuan selama ini",0,0,0,0,in,1000504635386294272,1754145199046234172,ndypionipop,https://twitter.com/ndypionipop/status/1754145199046234172
Sun Feb 04 14:09:40 +0000 2024,1754145197720822141,"Tiba tiba ngebayangin kalo Anies pake cara si Gibran kek kera sakti bilang saya cari cari kok gaada jawabannya ya pak Prabowo"" 🤣""",0,0,0,0,in,1198489223738744833,1754145197720822141,GunGnw_,https://twitter.com/GunGnw_/status/1754145197720822141
Sun Feb 04 14:09:40 +0000 2024,1754145197490119030,@dayatpiliang Anies kurg tegas th kata pak Prabowo wkkw,0,0,0,0,in,905638635474640897,1754145076014657570,skyscraper0922,https://twitter.com/skyscraper0922/status/1754145197490119030
Sun Feb 04 14:09:40 +0000 2024,1754145196969951274,yaudah prabowo gausah jadi presiden kalo gitu kerja aja di posyandu,0,0,0,0,in,1556124823754981376,1754145196969951274,jesuissabr,https://twitter.com/jesuissabr/status/1754145196969951274
Sun Feb 04 14:09:39 +0000 2024,1754145195099378138,"Kasian Pak Prabowo, giliran bener-bener adu gagasan dan isi kepala malah lebih babak belur 😭😭",0,0,0,0,in,174217890,1754145195099378138,bapakayammmm,https://twitter.com/bapakayammmm/status/1754145195099378138
